date,Extreme Fear,Extreme Greed,Fear,Greed,Neutral
2023-05-01,0.0,0.0,0.0,0.0,0.0
2023-12-05,0.0,0.0,0.0,0.0,0.0
2023-12-14,0.0,0.0,0.0,-205.43473700000007,0.0
2023-12-15,0.0,0.0,0.0,-24.632033999999997,0.0
2023-12-16,0.0,0.0,0.0,0.0,0.0
2023-12-17,0.0,0.0,0.0,304.982785,0.0
2023-12-18,0.0,0.0,0.0,0.0,0.0
2023-12-19,0.0,0.0,0.0,1000.5386120000001,0.0
2023-12-20,0.0,0.0,0.0,162.732282,0.0
2023-12-21,0.0,0.0,0.0,537.211402,0.0
2023-12-22,0.0,0.0,0.0,141.832675,0.0
2023-12-23,0.0,0.0,0.0,146.936704,0.0
2023-12-24,0.0,0.0,0.0,1008.619956,0.0
2023-12-25,0.0,0.0,0.0,-245.081348,0.0
2023-12-27,0.0,0.0,0.0,-704.8892269999999,0.0
2023-12-28,0.0,0.0,0.0,-970.730876,0.0
2023-12-29,0.0,0.0,0.0,508.92214299999995,0.0
2023-12-30,0.0,0.0,0.0,354.998648,0.0
2024-01-01,0.0,0.0,0.0,-129.53146,0.0
2024-01-02,0.0,0.0,0.0,783.979116,0.0
2024-01-03,0.0,0.0,0.0,866.015507,0.0
2024-01-04,0.0,0.0,0.0,-67.60364,0.0
2024-01-05,0.0,0.0,0.0,164.141565,0.0
2024-01-06,0.0,0.0,0.0,135.58166400000002,0.0
2024-01-07,0.0,0.0,0.0,-835.681235,0.0
2024-01-08,0.0,0.0,0.0,-269.874439,0.0
2024-01-09,0.0,-826.349863,0.0,0.0,0.0
2024-01-10,0.0,0.0,0.0,-1517.091342,0.0
2024-01-11,0.0,-164.08950099999998,0.0,0.0,0.0
2024-01-12,0.0,0.0,0.0,-1925.519024,0.0
2024-01-15,0.0,0.0,0.0,0.0,152.85358
2024-01-16,0.0,0.0,0.0,-2299.171458,0.0
2024-01-17,0.0,0.0,0.0,813.2741110000001,0.0
2024-01-18,0.0,0.0,0.0,68.93319,0.0
2024-01-19,0.0,0.0,0.0,0.0,-385.419235
2024-01-20,0.0,0.0,0.0,0.0,-146.57487000000003
2024-01-21,0.0,0.0,0.0,266.58114600000005,0.0
2024-01-22,0.0,0.0,0.0,1375.640959,0.0
2024-01-23,0.0,0.0,0.0,0.0,-369.2447299999998
2024-01-24,0.0,0.0,0.0,0.0,-2808.353815
2024-01-25,0.0,0.0,0.0,0.0,-3093.6293849999997
2024-01-26,0.0,0.0,0.0,0.0,90.2
2024-01-28,0.0,0.0,0.0,0.0,-2478.06972
2024-01-29,0.0,0.0,0.0,486.562542,0.0
2024-01-30,0.0,0.0,0.0,-173.65419100000003,0.0
2024-01-31,0.0,0.0,0.0,-799.840817,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0
2024-02-02,0.0,0.0,0.0,456.423473,0.0
2024-02-03,0.0,0.0,0.0,223.30918699999998,0.0
2024-02-04,0.0,0.0,0.0,47.62389499999999,0.0
2024-02-05,0.0,0.0,0.0,-33.45419400000003,0.0
2024-02-06,0.0,0.0,0.0,-215.615907,0.0
2024-02-07,0.0,0.0,0.0,241.24212,0.0
2024-02-08,0.0,0.0,0.0,770.756024,0.0
2024-02-11,0.0,0.0,0.0,983.443176,0.0
2024-02-12,0.0,0.0,0.0,913.8817869999998,0.0
2024-02-13,0.0,559.44389,0.0,0.0,0.0
2024-02-14,0.0,0.0,0.0,3830.599833,0.0
2024-02-15,0.0,0.0,0.0,1840.797677,0.0
2024-02-16,0.0,0.0,0.0,5491.768834,0.0
2024-02-17,0.0,1929.6418,0.0,0.0,0.0
2024-02-18,0.0,0.0,0.0,477.6248299999999,0.0
2024-02-19,0.0,4317.768563,0.0,0.0,0.0
2024-02-20,0.0,0.0,0.0,3263.628824,0.0
2024-02-21,0.0,1858.7985700000002,0.0,0.0,0.0
2024-02-22,0.0,0.0,0.0,3894.1050699999996,0.0
2024-02-23,0.0,1418.55293,0.0,0.0,0.0
2024-02-25,0.0,0.0,0.0,-30.7705,0.0
2024-02-26,0.0,0.0,0.0,4416.8473,0.0
2024-02-27,0.0,888.511733,0.0,0.0,0.0
2024-02-28,0.0,2503.747235,0.0,0.0,0.0
2024-02-29,0.0,9813.996992,0.0,0.0,0.0
2024-03-01,0.0,8244.241409,0.0,0.0,0.0
2024-03-02,0.0,230.90060000000005,0.0,0.0,0.0
2024-03-03,0.0,8361.086245,0.0,0.0,0.0
2024-03-04,0.0,27799.775742,0.0,0.0,0.0
2024-03-05,0.0,19791.026041,0.0,0.0,0.0
2024-03-06,0.0,6814.825139,0.0,0.0,0.0
2024-03-08,0.0,4271.886236,0.0,0.0,0.0
2024-03-09,0.0,9949.501624,0.0,0.0,0.0
2024-03-10,0.0,2482.9272,0.0,0.0,0.0
2024-03-11,0.0,3588.179495,0.0,0.0,0.0
2024-03-12,0.0,3039.166,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,3465.865832,0.0,0.0,0.0
2024-03-15,0.0,6236.513651,0.0,0.0,0.0
2024-03-16,0.0,228.57984,0.0,0.0,0.0
2024-03-17,0.0,503.293955,0.0,0.0,0.0
2024-03-18,0.0,1456.9577,0.0,0.0,0.0
2024-03-19,0.0,668.797973,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,6423.134599,0.0
2024-03-21,0.0,2335.5080749999997,0.0,0.0,0.0
2024-03-24,0.0,0.0,0.0,1297.018477,0.0
2024-03-25,0.0,1302.916428,0.0,0.0,0.0
2024-03-26,0.0,3215.906593,0.0,0.0,0.0
2024-03-27,0.0,150.41114,0.0,0.0,0.0
2024-03-28,0.0,227.85100799999998,0.0,0.0,0.0
2024-03-29,0.0,883.097404,0.0,0.0,0.0
2024-03-30,0.0,1100.57514,0.0,0.0,0.0
2024-03-31,0.0,912.786145,0.0,0.0,0.0
2024-04-01,0.0,2507.963406,0.0,0.0,0.0
2024-04-02,0.0,883.760812,0.0,0.0,0.0
2024-04-03,0.0,0.0,0.0,126.7884,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,10706.484306,0.0,0.0,0.0
2024-04-06,0.0,236.33513399999998,0.0,0.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,1218.4267,0.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,5207.443414,0.0,0.0,0.0
2024-04-11,0.0,389.743164,0.0,0.0,0.0
2024-04-12,0.0,-592.6458390000001,0.0,0.0,0.0
2024-04-13,0.0,0.0,0.0,6621.451755,0.0
2024-04-14,0.0,0.0,0.0,-36104.012520000004,0.0
2024-04-15,0.0,0.0,0.0,3774.08872,0.0
2024-04-16,0.0,0.0,0.0,2467.702221,0.0
2024-04-17,0.0,0.0,0.0,2441.4683999999997,0.0
2024-04-19,0.0,0.0,0.0,1946.4454620000001,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0
2024-04-22,0.0,0.0,0.0,0.0,0.0
2024-04-23,0.0,0.0,0.0,1119.536196,0.0
2024-04-24,0.0,0.0,0.0,279.185907,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0
2024-04-27,0.0,0.0,0.0,4281.488139,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,0.0,0.0,526.9338359999999,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,0.0,5306.017045
2024-05-04,0.0,0.0,0.0,0.0,0.0
2024-05-05,0.0,0.0,0.0,0.916,0.0
2024-05-06,0.0,0.0,0.0,968.59038,0.0
2024-05-07,0.0,0.0,0.0,883.537693,0.0
2024-05-08,0.0,0.0,0.0,1.56576,0.0
2024-05-09,0.0,0.0,0.0,1147.595856,0.0
2024-05-10,0.0,0.0,0.0,2101.741695,0.0
2024-05-11,0.0,0.0,0.0,0.0,251.604742
2024-05-12,0.0,0.0,0.0,0.0,0.0
2024-05-13,0.0,0.0,0.0,2136.853859,0.0
2024-05-14,0.0,0.0,0.0,1150.5233050000002,0.0
2024-05-15,0.0,0.0,0.0,948.970582,0.0
2024-05-16,0.0,0.0,0.0,214.5898,0.0
2024-05-18,0.0,0.0,0.0,3522.3946610000003,0.0
2024-05-19,0.0,0.0,0.0,0.0,0.0
2024-05-20,0.0,0.0,0.0,-74.818442,0.0
2024-05-21,0.0,7289.397571999999,0.0,0.0,0.0
2024-05-22,0.0,0.0,0.0,0.0,0.0
2024-05-23,0.0,413.347329,0.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,821.949278,0.0
2024-05-25,0.0,14.126038999999999,0.0,0.0,0.0
2024-05-26,0.0,778.6839,0.0,0.0,0.0
2024-05-27,0.0,0.0,0.0,1129.35587,0.0
2024-05-29,0.0,0.0,0.0,277.791953,0.0
2024-05-30,0.0,0.0,0.0,20.951433,0.0
2024-05-31,0.0,0.0,0.0,25.35812,0.0
2024-06-01,0.0,0.0,0.0,91.510419,0.0
2024-06-02,0.0,0.0,0.0,192.906947,0.0
2024-06-03,0.0,0.0,0.0,562.808208,0.0
2024-06-04,0.0,0.0,0.0,52.211438,0.0
2024-06-05,0.0,56.055506,0.0,0.0,0.0
2024-06-06,0.0,274.173187,0.0,0.0,0.0
2024-06-07,0.0,8902.467416,0.0,0.0,0.0
2024-06-08,0.0,0.0,0.0,129.13883900000002,0.0
2024-06-09,0.0,0.0,0.0,0.0,0.0
2024-06-10,0.0,0.0,0.0,31.266804999999998,0.0
2024-06-11,0.0,0.0,0.0,4320.631811,0.0
2024-06-12,0.0,0.0,0.0,-21886.531493,0.0
2024-06-13,0.0,0.0,0.0,6632.757115,0.0
